639-1,639-2/T,639-2/B,Languagename,Nativename
aa,aar,aar,Afar,Afaraf
af,afr,afr,Afrikaans,Afrikaans
ak,aka,aka,Akan,Akan
am,amh,amh,Amharic,አማርኛ
ar,ara,ara,Arabic,العربية
av,ava,ava,Avaric,"авармацӀ,магӀарулмацӀ"
ay,aym,aym,Aymara,aymararu
az,aze,aze,Azerbaijani,azərbaycandili
az,azb,azb,SouthAzerbaijani,تورکجه‎
ba,bak,bak,Bashkir,башҡорттеле
be,bel,bel,Belarusian,беларускаямова
bg,bul,bul,Bulgarian,българскиезик
bh,bih,bih,Bihari,भोजपुरी
bm,bam,bam,Bambara,bamanankan
bn,ben,ben,Bengali;Bangla,বাংলা
bo,bod,tib,"TibetanStandard,Tibetan,Central",བོད་ཡིག
bs,bos,bos,Bosnian,bosanskijezik
ca,cat,cat,Catalan;Valencian,"català,valencià"
ce,che,che,Chechen,нохчийнмотт
cs,ces,cze,Czech,"čeština,českýjazyk"
cu,chu,chu,"OldChurchSlavonic,ChurchSlavonic,OldBulgarian",ѩзыкъсловѣньскъ
cv,chv,chv,Chuvash,чӑвашчӗлхи
cy,cym,wel,Welsh,Cymraeg
da,dan,dan,Danish,dansk
de,deu,ger,German,Deutsch
ee,ewe,ewe,Ewe,Eʋegbe
el,ell,gre,"Greek,Modern",ελληνικά
en,eng,eng,English,English
es,spa,spa,Spanish;Castilian,"español,castellano"
et,est,est,Estonian,"eesti,eestikeel"
fa,fas,per,Persian(Farsi),فارسی
ff,ful,ful,Fula;Fulah;Pulaar;Pular,"Fulfulde,Pulaar,Pular"
fi,fin,fin,Finnish,"suomi,suomenkieli"
fj,fij,fij,Fijian,vosaVakaviti
fr,fra,fre,French,"français,languefrançaise"
fy,fry,fry,WesternFrisian,Frysk
ga,gle,gle,Irish,Gaeilge
gd,gla,gla,ScottishGaelic;Gaelic,Gàidhlig
gl,glg,glg,Galician,galego
gn,grn,grn,Guaraní,Avañe'ẽ
gu,guj,guj,Gujarati,ગુજરાતી
ha,hau,hau,Hausa,"Hausa,هَوُسَ"
